tmdb_id,title,year,native_4k,mastering,hdr,dolby_vision,audio,tmdb_rating,cn_title,genre,date_added,has_local,emby_url
1359,American Psycho,2000,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.4,美国精神病人,,2026-09-11,0,
2770,American Pie 2,2001,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.3,美国派2,,,0,
2105,American Pie,1999,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.6,美国派,,,0,
14242,American Movie,1999,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,7.5,导演狂想曲,,,0,
337170,American Made,2017,0,Legacy,Upscaled 4K,HDR10,"DTS:X, 7.1 DTS-HD MA",6.9,美国行动,,2026-09-11,0,
168672,American Hustle,2013,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.9,美国骗局,,2026-03-26,0,
838,American Graffiti,1973,1,Native 4K,HDR10,5.1 DTS-HD MA,,7.1,美国风情画,,,0,
2768,American Gigolo,1980,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.2,美国舞男,,,0,
4982,American Gangster,2007,1,Native 4K,HDR10+,"DTS:X, 7.1 DTS-HD MA",,7.6,美国黑帮,,,0,
415842,American Assassin,2017,0,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.4,美国刺客,,,0,
763285,Ambulance,2022,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.6,亡命救护车,,,0,
279,Amadeus,1984,1,Native 4K,HDR10,5.1 DTS-HD MA,,8.0,莫扎特传,,2026-08-29,0,
11542,Altered States,1980,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.7,灵魂大搜索,,,0,
1309012,Altered,2025,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",5.6,改造,,,0,
8072,Alphaville,1965,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD-MA,6.9,阿尔法城,,,0,
222936,Aloha,2015,1,Native 4K,5.1 DTS-HD-MA,,,5.5,阿罗哈,,,0,
786,Almost Famous,2000,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.5,几近成名,,,0,
33518,Alligator,1980,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD-MA,6.0,大鳄鱼,,,0,
369885,Allied,2016,1,Native 4K,HDR10,5.1 DTS-HD-MA,,6.8,间谍同盟,,,0,
262504,Allegiant,2016,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.1,分歧者3：忠诚世界,,2026-09-11,0,
56590,All-Star Superman,2011,0,Upscaled 4K,HDR10,5.1 DTS-HD MA,,6.9,全明星超人,,,0,
891,All the President's Men,1976,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,7.7,总统班底,,,0,
25430,All the King's Men,1949,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,7.0,当代奸雄,,,0,
49046,All Quiet on the Western Front,2022,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.7,西线无战事,,2025-03-23,0,
994108,All of Us Strangers,2023,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD-MA,7.4,都是陌生人,,,0,
679,Aliens,1986,0,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",8.0,异形2,,,0,
